emp_no,first_name,last_name,birth_date,gender,title,salary,latest_start_date,end_of_contract_date
10001,Georgi,Facello,02-09-1953,M,Senior Engineer,60117,22-06-2010,01-01-9999
10002,Bezalel,Simmel,02-06-1964,F,Staff,65828,02-08-2001,01-01-9999
10003,Parto,Bamford,03-12-1959,M,Senior Engineer,40006,01-12-2001,01-01-9999
10004,Chirstian,Koblick,01-05-1954,M,Engineer,40054,27-11-2001,01-01-9999
10005,Kyoichi,Maliniak,21-01-1955,M,Senior Staff,78228,09-09-2001,01-01-9999
10006,Anneke,Preusig,20-04-1953,F,Senior Engineer,40000,02-08-2001,01-01-9999
10007,Tzvetan,Zielinski,23-05-1957,F,Senior Staff,56724,07-02-2002,01-01-9999
10008,Saniya,Kalloufi,19-02-1958,M,Assistant Engineer,46671,10-03-2000,31-07-2000
10009,Sumant,Peac,19-04-1952,F,Assistant Engineer,60929,14-02-2002,01-01-9999
10010,Duangkaew,Piveteau,01-06-1963,F,Engineer,72488,23-11-2001,01-01-9999
10011,Mary,Sluis,07-11-1953,F,Staff,42365,21-01-1996,09-11-1996
10012,Patricio,Bridgland,04-10-1960,M,Engineer,40000,16-12-2001,01-01-9999
10013,Eberhardt,Terkki,07-06-1963,M,Senior Staff,40000,16-10-2001,01-01-9999
10014,Berni,Genin,12-02-1956,M,Engineer,46168,27-12-2001,01-01-9999
10015,Guoxiang,Nooteboom,19-08-1959,M,Senior Staff,40000,19-09-1992,22-08-1993
10016,Kazuhito,Cappelletti,02-05-1961,M,Staff,70889,10-02-2002,01-01-9999
10017,Cristinel,Bouloucos,06-07-1958,F,Senior Staff,71380,01-08-2002,01-01-9999
10018,Kazuhide,Peha,19-06-1954,F,Engineer,55881,30-03-2002,01-01-9999
10019,Lillian,Haddadi,23-01-1953,M,Staff,44276,29-04-2002,01-01-9999
10020,Mayuko,Warwick,24-12-1952,M,Engineer,40000,29-12-2001,01-01-9999
10021,Ramzi,Erde,20-02-1960,M,Technique Leader,55025,06-02-2002,15-07-2002
10022,Shahaf,Famili,08-07-1952,M,Engineer,40000,02-09-2001,01-01-9999
10023,Bojan,Montemayor,29-09-1953,F,Engineer,47883,26-09-2001,01-01-9999
10024,Suzette,Pettey,05-09-1958,F,Assistant Engineer,83733,13-06-2002,01-01-9999
10025,Prasadram,Heyers,31-10-1958,M,Technique Leader,40000,14-08-1997,15-10-1997
10026,Yongqiao,Berztiss,03-04-1953,M,Engineer,47585,18-03-2002,01-01-9999
10027,Divier,Reistad,10-07-1962,F,Engineer,40000,31-03-2002,01-01-9999
10028,Domenick,Tempesti,26-11-1963,M,Engineer,48859,20-10-1997,06-04-1998
10029,Otmar,Herbst,13-12-1956,M,Engineer,63163,15-09-2001,01-01-9999
10030,Elvis,Demeyer,14-07-1958,M,Engineer,66956,15-02-2002,01-01-9999
10031,Karsten,Joslin,27-01-1959,M,Engineer,40000,29-08-2001,01-01-9999
10032,Jeong,Reistad,09-08-1960,F,Engineer,48426,17-06-2002,01-01-9999
10033,Arif,Merlo,14-11-1956,M,Technique Leader,51258,16-03-1993,24-03-1993
10034,Bader,Swan,29-12-1962,M,Staff,47561,11-04-1999,31-10-1999
10035,Alain,Chappelet,08-02-1953,M,Engineer,41538,02-09-2001,01-01-9999
10036,Adamantios,Portugali,10-08-1959,M,Senior Staff,42819,26-04-2002,01-01-9999
10037,Pradeep,Makrucki,22-07-1963,M,Engineer,40000,02-12-2001,01-01-9999
10038,Huan,Lortz,20-07-1960,M,Senior Staff,40000,17-09-2001,01-01-9999
10039,Alejandro,Brender,01-10-1959,M,Senior Staff,40000,15-01-2002,01-01-9999
10040,Weiyi,Meriste,13-09-1959,F,Engineer,52153,12-02-2002,01-01-9999
10041,Uri,Lenart,27-08-1959,F,Senior Staff,56893,09-11-2001,01-01-9999
10042,Magy,Stamatiou,26-02-1956,F,Senior Staff,81662,19-03-2000,10-08-2000
10043,Yishay,Tzvieli,19-09-1960,M,Engineer,49324,17-10-2001,01-01-9999
10044,Mingsen,Casley,21-09-1961,F,Technique Leader,40919,19-05-2002,01-01-9999
10045,Moss,Shanbhogue,14-08-1957,M,Engineer,41971,15-11-2001,01-01-9999
10046,Lucien,Rosenbaum,23-07-1960,M,Senior Staff,40000,18-06-2002,01-01-9999
10047,Zvonko,Nyanchama,29-06-1952,M,Engineer,54982,28-03-2002,01-01-9999
10048,Florian,Syrotiuk,11-07-1963,M,Engineer,40000,24-02-1986,27-01-1987
10049,Basil,Tramer,24-04-1961,F,Senior Staff,40000,02-05-2002,01-01-9999
10050,Yinghua,Dredge,21-05-1958,M,Senior Staff,74366,22-12-2001,01-01-9999
10051,Hidefumi,Caine,28-07-1953,M,Engineer,48817,13-10-2001,01-01-9999
10052,Heping,Nitsch,26-02-1961,M,Senior Staff,57212,30-01-2002,01-01-9999
10053,Sanjiv,Zschoche,13-09-1954,F,Senior Staff,67854,11-11-2001,01-01-9999
10054,Mayumi,Schueller,04-04-1957,M,Senior Staff,40000,27-07-2002,01-01-9999
10055,Georgy,Dredge,06-06-1956,M,Staff,80024,27-04-1995,22-07-1995
10056,Brendon,Bernini,01-09-1961,F,Engineer,48857,29-01-2002,01-01-9999
10057,Ebbe,Callaway,30-05-1954,F,Engineer,49616,12-01-2002,01-01-9999
10058,Berhard,McFarlin,01-10-1954,M,Senior Staff,52787,22-04-2002,01-01-9999
10059,Alejandro,McAlpine,19-09-1953,F,Senior Staff,71218,23-06-2002,01-01-9999
10060,Breannda,Billingsley,15-10-1961,M,Senior Staff,74686,25-05-2002,01-01-9999
10061,Tse,Herber,19-10-1962,M,Senior Staff,68577,29-11-2001,01-01-9999
10062,Anoosh,Peyn,02-11-1961,M,Engineer,55685,27-08-2001,01-01-9999
10063,Gino,Leonhardt,06-08-1952,F,Senior Engineer,40000,04-04-2002,01-01-9999
10064,Udi,Jansch,07-04-1959,M,Staff,40000,19-11-1991,02-03-1992
10065,Satosi,Awdeh,14-04-1963,M,Engineer,40000,23-05-2002,01-01-9999
10066,Kwee,Schusler,13-11-1952,M,Assistant Engineer,69736,22-02-2002,01-01-9999
10067,Claudi,Stavenow,07-01-1953,M,Engineer,44642,28-02-2002,01-01-9999
10068,Charlene,Brattka,26-11-1962,M,Senior Staff,87964,03-08-2001,01-01-9999
10069,Margareta,Bierman,06-09-1960,F,Technique Leader,67932,12-06-2002,01-01-9999
10070,Reuven,Garigliano,20-08-1955,M,Technique Leader,55999,10-10-2001,01-01-9999
10071,Hisao,Lipner,21-01-1958,M,Staff,40000,03-08-2001,01-01-9999
10072,Hironoby,Sidou,15-05-1952,F,Engineer,40000,18-05-2002,01-01-9999
10073,Shir,McClurg,23-02-1954,M,Engineer,56473,02-02-1998,22-02-1998
10074,Mokhtar,Bernatsky,28-08-1955,F,Technique Leader,61714,10-08-2001,01-01-9999
10075,Gao,Dolinsky,09-03-1960,F,Senior Engineer,43815,14-05-2000,15-01-2001
10076,Erez,Ritzmann,13-06-1952,F,Senior Engineer,47319,14-07-2002,01-01-9999
